PID   PPID  COMMAND          COMMAND
    1     0 nginx            nginx: master process nginx -g daemon off;
   15     1 nginx            nginx: worker process
   16     1 nginx            nginx: worker process
   17     1 nginx            nginx: worker process
   18     1 nginx            nginx: worker process
   19     1 nginx            nginx: worker process
   20     1 nginx            nginx: worker process
   21     1 nginx            nginx: worker process
   22     1 nginx            nginx: worker process
   23     1 nginx            nginx: worker process
   24     1 nginx            nginx: worker process
   25     1 nginx            nginx: worker process
   26     1 nginx            nginx: worker process
   71     0 ps               ps -eo pid,ppid,comm,args
