USER                PID                 %CPU                %MEM                VSZ                 RSS                 TTY                 STAT                START               TIME                COMMAND
70                  70404               0.0                 0.1                 182752              29696               ?                   SNs                 05:04               0:00                postgres -c shared_buffers=128MB -c work_mem=4MB -c maintenance_work_mem=64MB
70                  70596               0.0                 0.0                 182884              8788                ?                   SNs                 05:04               0:00                postgres: io worker 0
70                  70597               0.0                 0.0                 182828              6104                ?                   SNs                 05:04               0:00                postgres: io worker 1
70                  70598               0.0                 0.0                 182800              5100                ?                   SNs                 05:04               0:00                postgres: io worker 2
70                  70599               0.0                 0.0                 182908              8452                ?                   SNs                 05:04               0:00                postgres: checkpointer
70                  70600               0.0                 0.0                 182836              6736                ?                   SNs                 05:04               0:00                postgres: background writer
70                  70602               0.0                 0.0                 182828              9576                ?                   SNs                 05:04               0:00                postgres: walwriter
70                  70603               0.0                 0.0                 184340              8224                ?                   SNs                 05:04               0:00                postgres: autovacuum launcher
70                  70604               0.0                 0.0                 184312              7472                ?                   SNs                 05:04               0:00                postgres: logical replication launcher
70                  82716               0.0                 0.0                 184972              12680               ?                   SNs                 05:28               0:00                postgres: craftalism craftalism 172.19.0.4(44520) idle
70                  82871               0.0                 0.0                 184972              12708               ?                   SNs                 05:28               0:00                postgres: craftalism craftalism 172.19.0.4(41390) idle
70                  83850               0.0                 0.0                 184972              12740               ?                   SNs                 05:30               0:00                postgres: craftalism craftalism 172.19.0.4(41682) idle
70                  83958               0.0                 0.0                 184972              13000               ?                   SNs                 05:30               0:00                postgres: craftalism authserver 172.19.0.3(54324) idle
70                  84482               0.0                 0.0                 184972              12740               ?                   SNs                 05:32               0:00                postgres: craftalism craftalism 172.19.0.4(37510) idle
70                  84526               0.0                 0.0                 184972              12768               ?                   SNs                 05:32               0:00                postgres: craftalism craftalism 172.19.0.4(39220) idle
70                  84654               0.0                 0.0                 184972              12744               ?                   SNs                 05:32               0:00                postgres: craftalism craftalism 172.19.0.4(55594) idle
70                  84677               0.0                 0.0                 184972              12600               ?                   SNs                 05:32               0:00                postgres: craftalism craftalism 172.19.0.4(37206) idle
70                  85556               0.0                 0.0                 184972              12856               ?                   SNs                 05:33               0:00                postgres: craftalism authserver 172.19.0.3(54930) idle
70                  85579               0.0                 0.0                 184972              12624               ?                   SNs                 05:33               0:00                postgres: craftalism craftalism 172.19.0.4(35556) idle
70                  85808               0.0                 0.0                 184972              12600               ?                   SNs                 05:33               0:00                postgres: craftalism craftalism 172.19.0.4(33256) idle
70                  85871               0.0                 0.0                 184972              12628               ?                   SNs                 05:34               0:00                postgres: craftalism craftalism 172.19.0.4(33898) idle
